# Прогон ZAP 2.17.0 по плану plans/passive.yaml, стенд «Лавка», 2026-08-25.
# правило | риск | уверенность | метод | адрес | улика
10202	Absence of Anti-CSRF Tokens	Medium (Low)	conf=1	GET http://127.0.0.1:8081/login	<form method='post' action='/login'>
10038	Content Security Policy (CSP) Header Not Set	Medium (High)	conf=3	GET http://127.0.0.1:8081/	
10038	Content Security Policy (CSP) Header Not Set	Medium (High)	conf=3	GET http://127.0.0.1:8081/robots.txt	
10038	Content Security Policy (CSP) Header Not Set	Medium (High)	conf=3	GET http://127.0.0.1:8081/search?q=ZAP	
10038	Content Security Policy (CSP) Header Not Set	Medium (High)	conf=3	GET http://127.0.0.1:8081/sitemap.xml	
10038	Content Security Policy (CSP) Header Not Set	Medium (High)	conf=3	POST http://127.0.0.1:8081/login	
10020	Missing Anti-clickjacking Header	Medium (Medium)	conf=2	GET http://127.0.0.1:8081	
10020	Missing Anti-clickjacking Header	Medium (Medium)	conf=2	GET http://127.0.0.1:8081/	
10020	Missing Anti-clickjacking Header	Medium (Medium)	conf=2	GET http://127.0.0.1:8081/catalog?cat=%D1%81%D0%B0%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D1%8B	
10020	Missing Anti-clickjacking Header	Medium (Medium)	conf=2	GET http://127.0.0.1:8081/login	
10020	Missing Anti-clickjacking Header	Medium (Medium)	conf=2	GET http://127.0.0.1:8081/search?q=ZAP	
10036	Server Leaks Version Information via "Server" HTTP Response Header Field	Low (High)	conf=3	GET http://127.0.0.1:8081/	LavkaHTTP/0.9 Python/3.14.7
10036	Server Leaks Version Information via "Server" HTTP Response Header Field	Low (High)	conf=3	GET http://127.0.0.1:8081/catalog?cat=%D1%81%D0%B0%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D1%8B	LavkaHTTP/0.9 Python/3.14.7
10036	Server Leaks Version Information via "Server" HTTP Response Header Field	Low (High)	conf=3	GET http://127.0.0.1:8081/files?name=price.txt	LavkaHTTP/0.9 Python/3.14.7
10036	Server Leaks Version Information via "Server" HTTP Response Header Field	Low (High)	conf=3	GET http://127.0.0.1:8081/search?q=%D1%87%D0%B0%D0%B9%D0%BD%D0%B8%D0%BA	LavkaHTTP/0.9 Python/3.14.7
10036	Server Leaks Version Information via "Server" HTTP Response Header Field	Low (High)	conf=3	GET http://127.0.0.1:8081/sitemap.xml	LavkaHTTP/0.9 Python/3.14.7
10096	Timestamp Disclosure - Unix	Low (Low)	conf=1	GET http://127.0.0.1:8081	1787619506
10096	Timestamp Disclosure - Unix	Low (Low)	conf=1	GET http://127.0.0.1:8081/	1787619506
10021	X-Content-Type-Options Header Missing	Low (Medium)	conf=2	GET http://127.0.0.1:8081	
10021	X-Content-Type-Options Header Missing	Low (Medium)	conf=2	GET http://127.0.0.1:8081/catalog?cat=%D1%81%D0%B0%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D1%8B	
10021	X-Content-Type-Options Header Missing	Low (Medium)	conf=2	GET http://127.0.0.1:8081/files?name=price.txt	
10021	X-Content-Type-Options Header Missing	Low (Medium)	conf=2	GET http://127.0.0.1:8081/login	
10021	X-Content-Type-Options Header Missing	Low (Medium)	conf=2	GET http://127.0.0.1:8081/search?q=ZAP	
10111	Authentication Request Identified	Informational (High)	conf=3	POST http://127.0.0.1:8081/login	password
10027	Information Disclosure - Suspicious Comments	Informational (Medium)	conf=2	GET http://127.0.0.1:8081	FIXME
10027	Information Disclosure - Suspicious Comments	Informational (Medium)	conf=2	GET http://127.0.0.1:8081/	FIXME
